id,name,pos,team,set-id,set-userid,set-name,ssn-gms,ssn-ssn,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-2pt,rec-1d,rec-rec,rec-tgt,rec-td,rec-yds,fum-lost,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,idp-2pr,idp-ast,idp-blk,idp-fmr,idp-fmf,idp-int,idp-pd,idp-sck,idp-saf,idp-tac,idp-tfl,idp-td,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,pr-td,pr-yds,kr-td,kr-yds
ChenLe99,Leo Chenal,lb,WAS,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.43,0,0.37,1.1,0.27,2.37,1.83,0,35.83,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoneJu99,Justin Jones,dt,FA,67054,-1,Consensus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0.97,0.23,0,0.43,1.43,0,12.67,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FranJo99,John Franklin-Myers,dt,TEN,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0.4,0.7,0,0.63,4.8,0,19.3,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OkudJe99,Jeff Okudah,cb,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0.1,0.1,0.77,0.67,0,0,6.67,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArmoJa99,Jalyn Armour-Davis,cb,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.13,1.33,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnudFe99,Felix Anudike-Uzomah,de,KC,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0,0.53,1.3,0.03,0.87,3.67,0,18.87,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MurrEr99,Eric Murray,s,JAX,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0.1,0.53,0.97,4.8,0.77,0,36.87,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BarnDe98,Derek Barnett,de,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0.1,0.13,0,0.17,0.83,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RobiDa96,Darius Robinson,dt,ARI,67054,-1,Consensus,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0.57,0.43,0,0.6,2.67,0,18.13,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrasCh98,Chris Braswell,de,TB,67054,-1,Consensus,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0.3,0.43,0,0.7,1.67,0,11.07,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SterCa99,Caden Sterns,s,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,0,0.23,0.17,0.5,1,0.33,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
